timestamp	hr								ecg
2025-11-19 18:16:52.907000+00:00	58								-166,15,-187,-117,-202,-198,-193,-176,-158,-150,-124
2025-11-19 18:08:42.470000+00:00									-153
2025-11-19 18:43:04.693000+00:00									-154
2025-11-19 18:31:46.396000+00:00									-4,-8,-2,-506,-289,-47,-41,-80,-174,-247
2025-11-19 18:29:53.039000+00:00									-128,-164,-206,-225,-285,-230,-121,-253,-248,-232
2025-11-19 18:16:04.252000+00:00									-168,-177,-83,-167,-134,-108,-97,-107,-115,-92,-117,-138,-133,-150,-148,-144,-84,-86,-106,-67,-31,-30,-51,-51,-44,-169,-181,-187,-175,-163,-161,-87,-186,-146
2025-11-19 18:30:28.600000+00:00	66								-189,-175,-8,-227,-327,-428,-456,-463,-378,-238,-327,-290
2025-11-19 18:20:28.039000+00:00									-76,-65,-276,-279,-267,-257,-267,-242,-141,-236
2025-11-19 18:34:33.094000+00:00	77								-79,-194,-193,-184,-173,-182,-197,-197,-105,-199,-178,-165
2025-11-19 18:25:41.163000+00:00									-153
2025-11-19 18:41:17.745000+00:00									-147
2025-11-19 18:12:37.990000+00:00	70								-48,-27,20,10,187,-76,4,-113,-101,-127,-174,-1
2025-11-19 18:05:47.257000+00:00	78								-160,-139,-153,-139,-151,-149,-159,-156,-145
2025-11-19 18:31:31.361000+00:00									-144,-161,-8,165,96,87,27,-126
2025-11-19 18:31:56.539000+00:00	83								-416,-337,-362,-411,-150,-351,-242,-350,-449,-387,-177,-132,-59
2025-11-19 18:30:13.428000+00:00									198,130,81,41,-28,-110,-151,-131,-189,-265,-430
2025-11-19 18:44:50.882000+00:00									-250,-369,-423,-336,-322,-268,-194,-133,-111,-114,-85
2025-11-19 18:46:47.003000+00:00									-100,-181,-265,-256,6,-267,-187,-285,-313,-263,-231
2025-11-19 18:37:00.849000+00:00									-152
2025-11-19 18:14:00.005000+00:00									198,189,183,37,-418
2025-11-19 18:08:30.289000+00:00									-100,-201,-349,-367,-421,-128,-321,-383,-369,-506
2025-11-19 18:24:17.387000+00:00									-153
2025-11-19 18:27:21.074000+00:00									-76,-58,-32,-125,-162,-120,-506,-155
2025-11-19 18:13:49.984000+00:00									199,189,125,-61,76,-303,-349
2025-11-19 18:33:52.644000+00:00									-133,-101,-237,-232,-210,-209,-201,-196,-162,-182
2025-11-19 18:09:50.695000+00:00									188
2025-11-19 18:44:35.833000+00:00									-209,-322,-437,-380,-328,-375,-366,-320,-353,-261,-114,-50
2025-11-19 18:34:28.012000+00:00									-156,-156,-165,-167,70,-167,-99,-177,-166,-156,-164,-150
2025-11-19 18:33:42.621000+00:00									-149,-168,-168,-168,-138,-265,-256,-208,-183,-181,-167,-112,-225
2025-11-19 18:10:42.686000+00:00									-123,-153
2025-11-19 18:27:41.456000+00:00									201,180,125,113,29,16,36,-25,-66,-135,-182,-255
2025-11-19 18:42:11.390000+00:00									-150
